household_key,numBaskets,week,eggPurchase_week0,eggPurchase_week1,eggPurchase_week2,eggPurchase_week3,MARITAL_STATUS_CODE,AGE_DESC,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,avgBasketLoyaltyDiscount,avgSpendAmtPerBasket
1,477,Week of 704,0.0,1.0,0.0,0.0,A,65+,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-6.43423076923,49.0288461538
2,192,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-10.7514285714,78.1728571429
3,94,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-7.05,43.1066666667
4,27,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.87,27.4025
5,12,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-0.735,12.4883333333
6,399,Week of 704,0.0,1.0,0.0,1.0,,,,,,,,-2.77042253521,19.9814084507
7,574,Week of 704,0.0,1.0,0.0,0.0,A,45-54,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,-8.53192307692,59.8526923077
8,765,Week of 704,1.0,0.0,1.0,0.0,U,25-34,25-34K,Unknown,2 Adults Kids,3,1,-10.07625,57.34
9,96,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-7.024,41.458
10,18,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-4.305,33.945
12,22,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-6.76,74.95
13,689,Week of 704,1.0,0.0,0.0,0.0,U,25-34,75-99K,Homeowner,2 Adults Kids,4,2,-7.16228070175,46.3296491228
14,266,Week of 704,1.0,0.0,0.0,1.0,,,,,,,,-5.305,29.4965517241
15,114,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.38942857143,12.8422857143
16,21,Week of 704,0.0,0.0,0.0,0.0,B,45-54,50-74K,Homeowner,Single Female,1,None/Unknown,-0.827777777778,8.20444444444
17,195,Week of 704,0.0,0.0,0.0,0.0,B,65+,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,-16.24875,63.175625
18,561,Week of 704,0.0,0.0,0.0,1.0,A,45-54,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,-4.27549019608,47.2198
19,1843,Week of 704,1.0,0.0,1.0,1.0,B,35-44,15-24K,Unknown,Single Female,1,None/Unknown,-8.60992424242,38.7433333333
20,579,Week of 704,0.0,0.0,0.0,1.0,A,25-34,75-99K,Renter,2 Adults No Kids,2,None/Unknown,-2.23223214286,17.2460714286
21,170,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-15.015,58.91875
22,515,Week of 704,0.0,1.0,0.0,0.0,A,45-54,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,-5.93684210526,50.0615789474
23,140,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-1.96464285714,22.5303571429
24,180,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.99434782609,29.9939130435
25,306,Week of 704,0.0,0.0,0.0,0.0,U,35-44,50-74K,Unknown,Unknown,1,None/Unknown,-3.50647058824,23.8211764706
26,201,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.489,16.2706666667
27,753,Week of 704,0.0,0.0,0.0,0.0,U,45-54,25-34K,Probable Renter,Single Female,1,None/Unknown,-0.707305389222,10.5829518072
28,141,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.74757575758,16.3836363636
29,20,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.27625,12.85125
30,47,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.56571428571,22.5071428571
31,506,Week of 704,0.0,0.0,0.0,0.0,B,35-44,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-14.8748275862,69.1431034483
32,295,Week of 704,1.0,0.0,0.0,0.0,,,,,,,,-5.31318181818,39.1063636364
33,53,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-3.96181818182,22.07
34,65,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.205625,14.52375
35,85,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.67888888889,18.3355555556
36,561,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.15,31.88
