household_key,numBaskets,weekOf,eggPurchase_week0,eggPurchase_week1,eggPurchase_week2,eggPurchase_week3
1,477,704,0.0,1.0,0.0,0.0
2,192,704,0.0,0.0,0.0,0.0
3,94,704,0.0,0.0,0.0,0.0
5,12,704,0.0,0.0,0.0,0.0
6,399,704,0.0,1.0,0.0,1.0
7,574,704,0.0,1.0,0.0,0.0
9,96,704,0.0,0.0,0.0,0.0
12,22,704,0.0,0.0,0.0,0.0
14,266,704,1.0,0.0,0.0,1.0
15,114,704,0.0,0.0,0.0,0.0
16,21,704,0.0,0.0,0.0,0.0
17,195,704,0.0,0.0,0.0,0.0
18,561,704,0.0,0.0,0.0,1.0
20,579,704,0.0,0.0,0.0,1.0
22,515,704,0.0,1.0,0.0,0.0
24,180,704,0.0,0.0,0.0,0.0
25,306,704,0.0,0.0,0.0,0.0
26,201,704,0.0,0.0,0.0,0.0
28,141,704,0.0,0.0,0.0,0.0
29,20,704,0.0,0.0,0.0,0.0
31,506,704,0.0,0.0,0.0,0.0
33,53,704,0.0,0.0,0.0,0.0
34,65,704,0.0,0.0,0.0,0.0
35,85,704,0.0,0.0,0.0,0.0
37,85,704,0.0,1.0,0.0,0.0
40,1031,704,1.0,1.0,1.0,1.0
41,450,704,0.0,0.0,0.0,0.0
44,69,704,0.0,0.0,0.0,0.0
45,5,704,0.0,0.0,0.0,0.0
48,97,704,0.0,0.0,0.0,0.0
50,59,704,0.0,0.0,0.0,0.0
52,562,704,0.0,1.0,0.0,0.0
56,648,704,0.0,0.0,0.0,0.0
57,268,704,0.0,0.0,0.0,0.0
58,893,704,0.0,0.0,1.0,0.0
59,118,704,0.0,0.0,0.0,0.0
60,2,704,0.0,0.0,0.0,0.0
61,3,704,0.0,0.0,0.0,0.0
63,23,704,0.0,0.0,0.0,0.0
64,561,704,0.0,0.0,0.0,0.0
66,28,704,0.0,0.0,1.0,0.0
67,1139,704,0.0,0.0,1.0,0.0
69,763,704,0.0,0.0,0.0,0.0
71,160,704,0.0,0.0,0.0,0.0
73,69,704,0.0,0.0,0.0,0.0
74,127,704,0.0,0.0,0.0,0.0
75,55,704,0.0,0.0,0.0,0.0
77,720,704,1.0,0.0,0.0,0.0
79,317,704,0.0,0.0,0.0,0.0
80,453,704,0.0,0.0,0.0,0.0
81,118,704,0.0,0.0,0.0,0.0
82,30,704,0.0,0.0,0.0,0.0
83,89,704,0.0,0.0,0.0,1.0
84,148,704,0.0,0.0,0.0,0.0
85,201,704,0.0,0.0,0.0,0.0
86,292,704,0.0,0.0,0.0,0.0
87,125,704,0.0,0.0,0.0,0.0
88,1309,704,0.0,0.0,1.0,0.0
91,331,704,0.0,1.0,0.0,0.0
95,628,704,0.0,1.0,0.0,1.0
98,662,704,0.0,0.0,0.0,0.0
99,700,704,0.0,0.0,0.0,0.0
100,155,704,0.0,0.0,0.0,0.0
101,479,704,0.0,0.0,0.0,0.0
104,901,704,0.0,0.0,0.0,0.0
105,464,704,0.0,1.0,1.0,1.0
107,40,704,0.0,0.0,0.0,0.0
108,122,704,0.0,0.0,0.0,0.0
110,352,704,0.0,0.0,0.0,0.0
113,1304,704,0.0,0.0,0.0,0.0
114,219,704,0.0,0.0,0.0,0.0
115,800,704,1.0,0.0,0.0,0.0
116,94,704,0.0,0.0,0.0,1.0
117,329,704,1.0,0.0,0.0,1.0
118,577,704,1.0,0.0,1.0,0.0
119,285,704,0.0,1.0,0.0,0.0
120,2,704,0.0,0.0,0.0,0.0
121,102,704,0.0,0.0,0.0,0.0
123,276,704,0.0,1.0,0.0,1.0
124,53,704,0.0,0.0,1.0,0.0
125,570,704,1.0,0.0,1.0,0.0
126,129,704,1.0,0.0,0.0,0.0
129,91,704,0.0,0.0,0.0,0.0
